Ticker,Risk
MMM,0.28351649628773457
AOS,0.30300025055034446
ABT,0.2607841538624224
ABBV,0.24973426421967942
ACN,0.28581831482467757
ADBE,0.37490461580494033
AMD,0.5242265709597917
AES,0.3813207254371178
AFL,0.31827129236894136
A,0.29434950851219344
APD,0.29655222482423305
ABNB,0.4206401857575523
AKAM,0.2840053422740291
ALB,0.5129600484338223
ARE,0.3048901762932061
ALGN,0.5493853798030055
ALLE,0.307513312339558
LNT,0.24746247443312425
ALL,0.2878199478964625
GOOGL,0.3193472420384233
GOOG,0.31913195408425143
MO,0.2503274278125003
AMZN,0.3498561973973681
AMCR,0.2958595221247478
AEE,0.2588051012969752
AAL,0.6137893003527439
AEP,0.24404031565078468
AXP,0.3778289049402138
AIG,0.40054546257504914
AMT,0.2991609640655813
AWK,0.27332283893336706
AMP,0.3957857858163926
AME,0.2723574370857492
AMGN,0.2524518355963758
APH,0.27273399255805236
ADI,0.34703476549034146
ANSS,0.35989906360902996
AON,0.26558760913879714
APA,0.7117950218583635
AAPL,0.31722716503535175
AMAT,0.4537639983952666
APTV,0.46912149035194683
ACGL,0.3322921397439016
ADM,0.30167299042034057
ANET,0.43134281845528677
AJG,0.25617370679213936
AIZ,0.30616865772146307
T,0.2623455939595566
ATO,0.2526815648078626
ADSK,0.39374226419102387
ADP,0.2775500079922016
AZO,0.2825437269209818
AVB,0.29624896429769526
AVY,0.3144013703059891
AXON,0.4954577771830168
BKR,0.44774090164582797
BALL,0.3271802737980338
BAC,0.3550864717742418
BK,0.3152438126222443
BBWI,0.613433618477209
BAX,0.28671566589803826
BDX,0.24582652012332382
BBY,0.38771417323088947
BIO,0.3472102652189164
TECH,0.34478658124562744
BIIB,0.47713974693723604
BLK,0.3165712099855924
BX,0.40816572503906434
BA,0.5035787754742744
BKNG,0.36995771139260863
BWA,0.373304744773682
BXP,0.38356531785303133
BSX,0.28461956083180173
BMY,0.21986815026391884
AVGO,0.37018036955629235
BR,0.2577666138415497
BRO,0.2682029758996715
BLDR,0.5227439823545432
BG,0.3325754783262902
CDNS,0.3581756597546361
CZR,0.73604052862806
CPT,0.2878789618860165
CPB,0.24540287609021205
COF,0.43772409391620287
CAH,0.3031284337797882
KMX,0.4421482441791412
CCL,0.7286174803407399
CARR,0.35308709719270526
CTLT,0.47674294504592296
CAT,0.32067502825030325
CBOE,0.27807733423396497
CBRE,0.37919065691318965
CDW,0.32079146495799754
CE,0.3676982471219179
COR,0.2711718825198308
CNC,0.3617825496789027
CNP,0.3217756242319708
CF,0.4232070453656108
CHRW,0.2917147524691462
CRL,0.3822914903112945
SCHW,0.38908805075133135
CHTR,0.32282343617755715
CVX,0.3531666193459986
CMG,0.3493107546891839
CB,0.2842162483141256
CHD,0.2299637206522761
CI,0.34119400948153805
CINF,0.35199190569987593
CTAS,0.30889095124273536
CSCO,0.28103749213220963
C,0.38657738227109073
CFG,0.45849463205397767
CLX,0.2689712949184632
CME,0.28238181113292427
CMS,0.2447628563593326
KO,0.2092564278874716
CTSH,0.31729388106001977
CL,0.2075647913834297
CMCSA,0.27801559750909105
CMA,0.5042763932218611
CAG,0.26813102774462205
COP,0.44413234466596785
ED,0.24409447706330828
STZ,0.2803770069325587
CEG,0.2651564158318363
COO,0.290081496465018
CPRT,0.301927455847905
GLW,0.32858739940669024
CTVA,0.3507099253715584
CSGP,0.35250287084946424
COST,0.2381997713530646
CTRA,0.40049370771671416
CCI,0.29461601484559125
CSX,0.2911004354055079
CMI,0.2952882751726629
CVS,0.2764593932680703
DHR,0.2745344825024658
DRI,0.4392214880886006
DVA,0.3663973393079354
DAY,0.46123391404091313
DE,0.33205565525168657
DAL,0.477163963626472
XRAY,0.3376121276668531
DVN,0.5904450388597816
DXCM,0.4699784566543094
FANG,0.5961549667331489
DLR,0.31630173324144767
DFS,0.4840522344167365
DG,0.2932566519620314
DLTR,0.3780367722693597
D,0.2776917225330259
DPZ,0.32369032235517775
DOV,0.2929338908517687
DOW,0.3698072028663562
DHI,0.39784003680942004
DTE,0.26964916135393163
DUK,0.24285376914714527
DD,0.3557633477838374
EMN,0.3500585715381099
ETN,0.32013297285540343
EBAY,0.32651903178643626
ECL,0.3077581839530164
EIX,0.29163877768714525
EW,0.33381052530556654
EA,0.26734490367098585
ELV,0.3289627928480212
LLY,0.31101277487390816
EMR,0.32068813267696766
ENPH,0.7745897380589583
ETR,0.2773614036567022
EOG,0.47688639553854506
EPAM,0.5318793078406532
EQT,0.5911018299204204
EFX,0.3316434917612769
EQIX,0.3022660495049525
EQR,0.2988011394011705
ESS,0.3056045643083529
EL,0.36704551413215564
ETSY,0.6102737988288363
EG,0.3129773763950416
EVRG,0.2801161592553837
ES,0.28089553369005077
EXC,0.2874088933317634
EXPE,0.5023001095887389
EXPD,0.26491278849020833
EXR,0.3059709741505207
XOM,0.3416187677373404
FFIV,0.30955389421039115
FDS,0.29131724798187925
FICO,0.414245746229489
FAST,0.28519957916380073
FRT,0.36894634168330004
FDX,0.37434355475660774
FIS,0.35671421463238373
FITB,0.4410011529311206
FSLR,0.5005996197135189
FE,0.2943667759168767
FI,0.30400662650354054
FLT,0.35111962693744053
FMC,0.3664258653381679
F,0.43243041122702547
FTNT,0.4429333289136468
FTV,0.2969852168482223
FOXA,0.33800159011523967
FOX,0.3276324567456354
BEN,0.3759361963192336
FCX,0.5137951087230228
GRMN,0.2738095695420039
IT,0.34731825357022245
GEHC,0.15801306915577334
GEN,0.3346787433630808
GNRC,0.5206588242634228
GD,0.2493909877107861
GE,0.4002865677398569
GIS,0.22429804277097382
GM,0.42135955462904445
GPC,0.31074434006703744
GILD,0.2568836690020986
GPN,0.37518312417670124
GL,0.3979360291376233
GS,0.3232539828855735
HAL,0.5610635551940825
HIG,0.359624354698994
HAS,0.37785296263920376
HCA,0.37898308235212397
PEAK,0.3436912686674665
HSIC,0.29100842775152247
HSY,0.2332866455764014
HES,0.4949372543260832
HPE,0.3677353106785383
HLT,0.33832211829699926
HOLX,0.29591750763568225
HD,0.2854147596353185
HON,0.2700208515118211
HRL,0.23705741595662969
HST,0.4134569180279009
HWM,0.4287762179082706
HPQ,0.37378907275503814
HUBB,0.30850631610670587
HUM,0.34293475988311173
HBAN,0.40610295952141084
HII,0.29006603860271757
IBM,0.2630411226408517
IEX,0.25764508129638386
IDXX,0.3429732207996481
ITW,0.2678074051522904
ILMN,0.440263581583306
INCY,0.31084094701957976
IR,0.34887103442389755
PODD,0.45440036765578673
INTC,0.394644822894105
ICE,0.2502259928855778
IFF,0.3477020126340944
IP,0.3354930291364526
IPG,0.3606055745320568
INTU,0.36894336974794184
ISRG,0.3532299199139145
IVZ,0.4617538328286765
INVH,0.2978582199829454
IQV,0.3337985345374919
IRM,0.3240126262433639
JBHT,0.31314397583660825
JBL,0.4012643219174725
JKHY,0.2724028972684648
J,0.2869629439292518
JNJ,0.19781269657525918
JCI,0.29661738560932066
JPM,0.31708459214490226
JNPR,0.29400278252621953
K,0.22833411654792185
KVUE,0.10980094260773571
KDP,0.2428820878367687
KEY,0.4856930185622847
KEYS,0.33642643344526363
