Ticker,Value
KLAC,0.002008032
KHC,0.002008032
KR,0.002008032
LHX,0.002008032
LH,0.002008032
LRCX,0.002008032
LW,0.002008032
LVS,0.002008032
LDOS,0.002008032
LEN,0.002008032
LIN,0.002008032
LYV,0.002008032
LKQ,0.002008032
LMT,0.002008032
L,0.002008032
LOW,0.002008032
LULU,0.002008032
LYB,0.002008032
MTB,0.002008032
MRO,0.002008032
MPC,0.002008032
MKTX,0.002008032
MAR,0.002008032
MMC,0.002008032
MLM,0.002008032
MAS,0.002008032
MA,0.002008032
MTCH,0.002008032
MKC,0.002008032
MCD,0.002008032
MCK,0.002008032
MDT,0.002008032
MRK,0.002008032
META,0.002008032
MET,0.002008032
MTD,0.002008032
MGM,0.002008032
MCHP,0.002008032
MU,0.002008032
MSFT,0.002008032
MAA,0.002008032
MRNA,0.002008032
MHK,0.002008032
MOH,0.002008032
TAP,0.002008032
MDLZ,0.002008032
MPWR,0.002008032
MNST,0.002008032
MCO,0.002008032
MS,0.002008032
MOS,0.002008032
MSI,0.002008032
MSCI,0.002008032
NDAQ,0.002008032
NTAP,0.002008032
NFLX,0.002008032
NEM,0.002008032
NWSA,0.002008032
NWS,0.002008032
NEE,0.002008032
NKE,0.002008032
NI,0.002008032
NDSN,0.002008032
NSC,0.002008032
NTRS,0.002008032
NOC,0.002008032
NCLH,0.002008032
NRG,0.002008032
NUE,0.002008032
NVDA,0.002008032
NVR,0.002008032
NXPI,0.002008032
ORLY,0.002008032
OXY,0.002008032
ODFL,0.002008032
OMC,0.002008032
ON,0.002008032
OKE,0.002008032
ORCL,0.002008032
OTIS,0.002008032
PCAR,0.002008032
PKG,0.002008032
PANW,0.002008032
PARA,0.002008032
PH,0.002008032
PAYX,0.002008032
PAYC,0.002008032
PYPL,0.002008032
PNR,0.002008032
PEP,0.002008032
PFE,0.002008032
PCG,0.002008032
PM,0.002008032
PSX,0.002008032
PNW,0.002008032
PXD,0.002008032
PNC,0.002008032
POOL,0.002008032
PPG,0.002008032
PPL,0.002008032
PFG,0.002008032
PG,0.002008032
PGR,0.002008032
PLD,0.002008032
PRU,0.002008032
PEG,0.002008032
PTC,0.002008032
PSA,0.002008032
PHM,0.002008032
QRVO,0.002008032
PWR,0.002008032
QCOM,0.002008032
DGX,0.002008032
RL,0.002008032
RJF,0.002008032
RTX,0.002008032
O,0.002008032
REG,0.002008032
REGN,0.002008032
RF,0.002008032
RSG,0.002008032
RMD,0.002008032
RVTY,0.002008032
RHI,0.002008032
ROK,0.002008032
ROL,0.002008032
ROP,0.002008032
ROST,0.002008032
RCL,0.002008032
SPGI,0.002008032
CRM,0.002008032
SBAC,0.002008032
SLB,0.002008032
STX,0.002008032
SRE,0.002008032
NOW,0.002008032
SHW,0.002008032
SPG,0.002008032
SWKS,0.002008032
SJM,0.002008032
SNA,0.002008032
SO,0.002008032
LUV,0.002008032
SWK,0.002008032
SBUX,0.002008032
STT,0.002008032
STLD,0.002008032
STE,0.002008032
SYK,0.002008032
SYF,0.002008032
SNPS,0.002008032
SYY,0.002008032
TMUS,0.002008032
TROW,0.002008032
TTWO,0.002008032
TPR,0.002008032
TRGP,0.002008032
TGT,0.002008032
TEL,0.002008032
TDY,0.002008032
TFX,0.002008032
TER,0.002008032
TSLA,0.002008032
TXN,0.002008032
TXT,0.002008032
TMO,0.002008032
TJX,0.002008032
TSCO,0.002008032
TT,0.002008032
TDG,0.002008032
TRV,0.002008032
TRMB,0.002008032
TFC,0.002008032
TYL,0.002008032
TSN,0.002008032
USB,0.002008032
UBER,0.002008032
UDR,0.002008032
ULTA,0.002008032
UNP,0.002008032
UAL,0.002008032
UPS,0.002008032
URI,0.002008032
UNH,0.002008032
UHS,0.002008032
VLO,0.002008032
VTR,0.002008032
VLTO,0.002008032
VRSN,0.002008032
VRSK,0.002008032
VZ,0.002008032
VRTX,0.002008032
VFC,0.002008032
VTRS,0.002008032
VICI,0.002008032
V,0.002008032
VMC,0.002008032
WRB,0.002008032
WAB,0.002008032
WBA,0.002008032
WMT,0.002008032
DIS,0.002008032
WBD,0.002008032
WM,0.002008032
WAT,0.002008032
WEC,0.002008032
WFC,0.002008032
WELL,0.002008032
WST,0.002008032
WDC,0.002008032
WRK,0.002008032
WY,0.002008032
WHR,0.002008032
WMB,0.002008032
WTW,0.002008032
GWW,0.002008032
WYNN,0.002008032
XEL,0.002008032
XYL,0.002008032
YUM,0.002008032
ZBRA,0.002008032
ZBH,0.002008032
ZION,0.002008032
ZTS,0.002008032
